"","Site.Name","Date","Month","Year","COUNTY","meanlat","meanlong","PM2.5","Ozone"
"228","Bryson City",2018-08-16,8,2018,"Swain",35.434767,-83.442133,59,37
"229","Bryson City",2018-08-17,8,2018,"Swain",35.434767,-83.442133,54,28
"230","Bryson City",2018-08-18,8,2018,"Swain",35.434767,-83.442133,31,27
"231","Bryson City",2018-08-19,8,2018,"Swain",35.434767,-83.442133,24,30
"232","Bryson City",2018-08-20,8,2018,"Swain",35.434767,-83.442133,29,31
"233","Bryson City",2018-08-21,8,2018,"Swain",35.434767,-83.442133,52,31
"234","Bryson City",2018-08-22,8,2018,"Swain",35.434767,-83.442133,37,34
"235","Bryson City",2018-08-23,8,2018,"Swain",35.434767,-83.442133,53,40
"236","Bryson City",2018-08-24,8,2018,"Swain",35.434767,-83.442133,39,36
"237","Bryson City",2018-08-25,8,2018,"Swain",35.434767,-83.442133,NA,36
"238","Bryson City",2018-08-26,8,2018,"Swain",35.434767,-83.442133,NA,33
"239","Bryson City",2018-08-27,8,2018,"Swain",35.434767,-83.442133,NA,30
"240","Bryson City",2018-08-28,8,2018,"Swain",35.434767,-83.442133,NA,36
"241","Bryson City",2018-08-29,8,2018,"Swain",35.434767,-83.442133,43,39
"242","Bryson City",2018-08-30,8,2018,"Swain",35.434767,-83.442133,30,29
"243","Bryson City",2018-08-31,8,2018,"Swain",35.434767,-83.442133,21,27
"244","Bryson City",2018-09-01,9,2018,"Swain",35.434767,-83.442133,29,29
"245","Bryson City",2018-09-02,9,2018,"Swain",35.434767,-83.442133,28,24
"246","Bryson City",2018-09-03,9,2018,"Swain",35.434767,-83.442133,18,25
"247","Bryson City",2018-09-04,9,2018,"Swain",35.434767,-83.442133,22,28
"248","Bryson City",2018-09-05,9,2018,"Swain",35.434767,-83.442133,31,25
"249","Bryson City",2018-09-06,9,2018,"Swain",35.434767,-83.442133,30,26
"250","Bryson City",2018-09-07,9,2018,"Swain",35.434767,-83.442133,26,30
"251","Bryson City",2018-09-08,9,2018,"Swain",35.434767,-83.442133,28,28
"252","Bryson City",2018-09-09,9,2018,"Swain",35.434767,-83.442133,21,24
"253","Bryson City",2018-09-10,9,2018,"Swain",35.434767,-83.442133,18,17
"254","Bryson City",2018-09-11,9,2018,"Swain",35.434767,-83.442133,10,24
"255","Bryson City",2018-09-12,9,2018,"Swain",35.434767,-83.442133,20,24
"256","Bryson City",2018-09-13,9,2018,"Swain",35.434767,-83.442133,22,24
"257","Bryson City",2018-09-14,9,2018,"Swain",35.434767,-83.442133,14,23
"258","Bryson City",2018-09-15,9,2018,"Swain",35.434767,-83.442133,13,21
"259","Bryson City",2018-09-16,9,2018,"Swain",35.434767,-83.442133,9,12
"260","Bryson City",2018-09-17,9,2018,"Swain",35.434767,-83.442133,10,21
"261","Bryson City",2018-09-18,9,2018,"Swain",35.434767,-83.442133,22,27
"262","Bryson City",2018-09-19,9,2018,"Swain",35.434767,-83.442133,32,34
"263","Bryson City",2018-09-20,9,2018,"Swain",35.434767,-83.442133,44,35
"264","Bryson City",2018-09-21,9,2018,"Swain",35.434767,-83.442133,48,36
"265","Bryson City",2018-09-22,9,2018,"Swain",35.434767,-83.442133,43,34
"266","Bryson City",2018-09-23,9,2018,"Swain",35.434767,-83.442133,43,31
"267","Bryson City",2018-09-24,9,2018,"Swain",35.434767,-83.442133,30,24
"268","Bryson City",2018-09-25,9,2018,"Swain",35.434767,-83.442133,27,22
"269","Bryson City",2018-09-26,9,2018,"Swain",35.434767,-83.442133,23,16
"270","Bryson City",2018-09-27,9,2018,"Swain",35.434767,-83.442133,20,13
"271","Bryson City",2018-09-28,9,2018,"Swain",35.434767,-83.442133,22,27
"272","Bryson City",2018-09-29,9,2018,"Swain",35.434767,-83.442133,24,29
"273","Bryson City",2018-09-30,9,2018,"Swain",35.434767,-83.442133,25,29
"274","Bryson City",2018-10-01,10,2018,"Swain",35.434767,-83.442133,35,28
"275","Bryson City",2018-10-02,10,2018,"Swain",35.434767,-83.442133,36,32
"276","Bryson City",2018-10-03,10,2018,"Swain",35.434767,-83.442133,37,28
"277","Bryson City",2018-10-04,10,2018,"Swain",35.434767,-83.442133,30,31
"278","Bryson City",2018-10-05,10,2018,"Swain",35.434767,-83.442133,32,27
"279","Bryson City",2018-10-06,10,2018,"Swain",35.434767,-83.442133,37,32
"280","Bryson City",2018-10-07,10,2018,"Swain",35.434767,-83.442133,46,29
"281","Bryson City",2018-10-08,10,2018,"Swain",35.434767,-83.442133,36,32
"282","Bryson City",2018-10-09,10,2018,"Swain",35.434767,-83.442133,21,37
"283","Bryson City",2018-10-10,10,2018,"Swain",35.434767,-83.442133,17,19
"284","Bryson City",2018-10-11,10,2018,"Swain",35.434767,-83.442133,25,34
"285","Bryson City",2018-10-12,10,2018,"Swain",35.434767,-83.442133,22,34
"286","Bryson City",2018-10-13,10,2018,"Swain",35.434767,-83.442133,27,33
"287","Bryson City",2018-10-14,10,2018,"Swain",35.434767,-83.442133,36,29
"288","Bryson City",2018-10-15,10,2018,"Swain",35.434767,-83.442133,40,30
"289","Bryson City",2018-10-16,10,2018,"Swain",35.434767,-83.442133,30,21
"290","Bryson City",2018-10-17,10,2018,"Swain",35.434767,-83.442133,24,30
"291","Bryson City",2018-10-18,10,2018,"Swain",35.434767,-83.442133,25,32
"292","Bryson City",2018-10-19,10,2018,"Swain",35.434767,-83.442133,38,32
"293","Bryson City",2018-10-20,10,2018,"Swain",35.434767,-83.442133,33,36
"294","Bryson City",2018-10-21,10,2018,"Swain",35.434767,-83.442133,22,32
"295","Bryson City",2018-10-22,10,2018,"Swain",35.434767,-83.442133,23,26
"296","Bryson City",2018-10-23,10,2018,"Swain",35.434767,-83.442133,36,33
"297","Bryson City",2018-10-24,10,2018,"Swain",35.434767,-83.442133,35,31
"298","Bryson City",2018-10-25,10,2018,"Swain",35.434767,-83.442133,43,31
"299","Bryson City",2018-10-26,10,2018,"Swain",35.434767,-83.442133,32,28
"300","Bryson City",2018-10-27,10,2018,"Swain",35.434767,-83.442133,30,31
"301","Bryson City",2018-10-28,10,2018,"Swain",35.434767,-83.442133,33,39
"302","Bryson City",2018-10-29,10,2018,"Swain",35.434767,-83.442133,21,38
"303","Bryson City",2018-10-30,10,2018,"Swain",35.434767,-83.442133,26,31
"304","Bryson City",2018-10-31,10,2018,"Swain",35.434767,-83.442133,43,35
"305","Bryson City",2018-11-01,11,2018,"Swain",35.434767,-83.442133,43,NA
"306","Bryson City",2018-11-02,11,2018,"Swain",35.434767,-83.442133,17,NA
"307","Bryson City",2018-11-03,11,2018,"Swain",35.434767,-83.442133,29,NA
"308","Bryson City",2018-11-04,11,2018,"Swain",35.434767,-83.442133,34,NA
"309","Bryson City",2018-11-05,11,2018,"Swain",35.434767,-83.442133,25,NA
"310","Bryson City",2018-11-06,11,2018,"Swain",35.434767,-83.442133,17,NA
"311","Bryson City",2018-11-07,11,2018,"Swain",35.434767,-83.442133,24,NA
"312","Bryson City",2018-11-08,11,2018,"Swain",35.434767,-83.442133,40,NA
"313","Bryson City",2018-11-09,11,2018,"Swain",35.434767,-83.442133,23,NA
"314","Bryson City",2018-11-10,11,2018,"Swain",35.434767,-83.442133,32,NA
"315","Bryson City",2018-11-11,11,2018,"Swain",35.434767,-83.442133,49,NA
"316","Bryson City",2018-11-12,11,2018,"Swain",35.434767,-83.442133,36,NA
"317","Bryson City",2018-11-13,11,2018,"Swain",35.434767,-83.442133,16,NA
"318","Bryson City",2018-11-14,11,2018,"Swain",35.434767,-83.442133,17,NA
"319","Bryson City",2018-11-15,11,2018,"Swain",35.434767,-83.442133,14,NA
"320","Bryson City",2018-11-16,11,2018,"Swain",35.434767,-83.442133,26,NA
"321","Bryson City",2018-11-17,11,2018,"Swain",35.434767,-83.442133,43,NA
"322","Bryson City",2018-11-18,11,2018,"Swain",35.434767,-83.442133,52,NA
"323","Bryson City",2018-11-19,11,2018,"Swain",35.434767,-83.442133,52,NA
"324","Bryson City",2018-11-20,11,2018,"Swain",35.434767,-83.442133,29,NA
"325","Bryson City",2018-11-21,11,2018,"Swain",35.434767,-83.442133,33,NA
"326","Bryson City",2018-11-22,11,2018,"Swain",35.434767,-83.442133,47,NA
"327","Bryson City",2018-11-23,11,2018,"Swain",35.434767,-83.442133,55,NA
"328","Bryson City",2018-11-24,11,2018,"Swain",35.434767,-83.442133,26,NA
"329","Bryson City",2018-11-25,11,2018,"Swain",35.434767,-83.442133,28,NA
"330","Bryson City",2018-11-26,11,2018,"Swain",35.434767,-83.442133,20,NA
"331","Bryson City",2018-11-27,11,2018,"Swain",35.434767,-83.442133,25,NA
"332","Bryson City",2018-11-28,11,2018,"Swain",35.434767,-83.442133,28,NA
"333","Bryson City",2018-11-29,11,2018,"Swain",35.434767,-83.442133,56,NA
"334","Bryson City",2018-11-30,11,2018,"Swain",35.434767,-83.442133,59,NA
